iter	MultiClass
0	6.561761634e-06
1	6.56072485e-06
2	6.559459839e-06
3	6.558444752e-06
4	6.558379538e-06
5	6.557889719e-06
6	6.557215152e-06
7	6.556921753e-06
8	6.556792844e-06
9	6.555347731e-06
10	6.554269422e-06
11	6.554217888e-06
12	6.552727889e-06
13	6.552498897e-06
14	6.552443232e-06
15	6.550370419e-06
16	6.549178006e-06
17	6.546769697e-06
18	6.546750782e-06
19	6.546307923e-06
20	6.545431265e-06
21	6.544658375e-06
22	6.543514235e-06
23	6.543380301e-06
24	6.543235307e-06
25	6.542203398e-06
26	6.540679993e-06
27	6.540055104e-06
28	6.539800447e-06
29	6.536086608e-06
30	6.535177341e-06
31	6.533905355e-06
32	6.533842639e-06
33	6.533761944e-06
34	6.532978202e-06
35	6.532887268e-06
36	6.532117332e-06
37	6.531684217e-06
38	6.529552201e-06
39	6.529045438e-06
40	6.528262491e-06
41	6.52819896e-06
42	6.526866943e-06
43	6.525192498e-06
44	6.5244911e-06
45	6.52103144e-06
46	6.520736311e-06
47	6.517697551e-06
48	6.516288904e-06
49	6.514609524e-06
50	6.514261283e-06
51	6.51340706e-06
52	6.51249579e-06
53	6.509669251e-06
54	6.508787714e-06
55	6.508252804e-06
56	6.507931717e-06
57	6.507466898e-06
58	6.505908061e-06
59	6.505615338e-06
60	6.505219501e-06
61	6.504598694e-06
62	6.504340609e-06
63	6.50363207e-06
64	6.502981182e-06
65	6.501896783e-06
66	6.501694996e-06
67	6.50008628e-06
68	6.499020986e-06
69	6.498992131e-06
70	6.498591398e-06
71	6.498310925e-06
72	6.496046455e-06
73	6.495939554e-06
74	6.495818606e-06
75	6.495519085e-06
76	6.492635146e-06
77	6.49233236e-06
78	6.49231804e-06
79	6.492247339e-06
80	6.491820774e-06
81	6.491541291e-06
82	6.491083545e-06
83	6.490911405e-06
84	6.490886301e-06
85	6.490466359e-06
86	6.490212928e-06
87	6.488360136e-06
88	6.487910488e-06
89	6.487277783e-06
90	6.486891184e-06
91	6.486483759e-06
92	6.484331417e-06
93	6.483954545e-06
94	6.483177273e-06
95	6.482329014e-06
96	6.481361156e-06
97	6.479191692e-06
98	6.477871808e-06
99	6.477240715e-06
100	6.476265906e-06
101	6.476130683e-06
102	6.476058332e-06
103	6.474976829e-06
104	6.474494899e-06
105	6.472156722e-06
106	6.469679994e-06
107	6.469095868e-06
108	6.46831276e-06
109	6.467613933e-06
110	6.467033003e-06
111	6.466099628e-06
112	6.465820985e-06
113	6.464747256e-06
114	6.464679481e-06
115	6.463515581e-06
116	6.46309905e-06
117	6.46299723e-06
118	6.462665627e-06
119	6.462519427e-06
120	6.462258717e-06
121	6.459973809e-06
122	6.459679434e-06
123	6.458939542e-06
124	6.458867711e-06
125	6.458422466e-06
126	6.455980335e-06
127	6.453512119e-06
128	6.452129296e-06
129	6.451752959e-06
130	6.451353659e-06
131	6.450995707e-06
132	6.450637182e-06
133	6.449897995e-06
134	6.449387864e-06
135	6.448850863e-06
136	6.448341077e-06
137	6.448324e-06
138	6.448136774e-06
139	6.44759041e-06
140	6.446197699e-06
141	6.445819295e-06
142	6.445783886e-06
143	6.445769359e-06
144	6.445676867e-06
145	6.445361082e-06
146	6.445041487e-06
147	6.445018541e-06
148	6.44496214e-06
149	6.444766346e-06
150	6.444695582e-06
151	6.442746651e-06
152	6.442291332e-06
153	6.441267498e-06
154	6.440824267e-06
155	6.440031531e-06
156	6.437581449e-06
157	6.435429542e-06
