iter	Passed	Remaining
0	473	94298
1	969	95947
2	1381	90697
3	1781	87269
4	2218	86536
5	2643	85469
6	3093	85297
7	3523	84556
8	3977	84401
9	4380	83233
10	4736	81376
11	5076	79534
12	5434	78173
13	5819	77312
14	6203	76509
15	6600	75901
16	7041	75795
17	7455	75380
18	7810	74401
19	8149	73343
20	8570	73055
21	8991	72751
22	9365	72073
23	9709	71199
24	10119	70835
25	10469	70065
26	10868	69641
27	11246	69087
28	11564	68192
29	11929	67602
30	12309	67104
31	12738	66875
32	13139	66494
33	13552	66166
34	13915	65603
35	14316	65219
36	14646	64524
37	14957	63765
38	15311	63208
39	15818	63273
40	16257	63046
41	16695	62805
42	16975	61979
43	17421	61768
44	17877	61576
45	18377	61525
46	18741	61011
47	19150	60643
48	19552	60253
49	19888	59664
50	20230	59104
51	20653	58782
52	21118	58574
53	21428	57936
54	21865	57644
55	22278	57286
56	22694	56936
57	23198	56795
58	23632	56477
59	24100	56234
60	24480	55783
61	24725	55035
62	25105	54595
63	25459	54100
64	25775	53534
65	26153	53100
66	26560	52724
67	26962	52339
68	27336	51898
69	27683	51411
70	28040	50947
71	28451	50580
72	28849	50190
73	29167	49664
74	29564	49274
75	29937	48844
76	30282	48373
77	30584	47837
78	30926	47368
79	31321	46982
80	31676	46536
81	32002	46052
82	32299	45530
83	32705	45164
84	33055	44721
85	33470	44368
86	33937	44079
87	34304	43659
88	34733	43319
89	35117	42920
90	35371	42368
91	35761	41980
92	36157	41600
93	36512	41173
94	36922	40808
95	37371	40485
96	37804	40142
97	38014	39566
98	38393	39169
99	38839	38839
100	39279	38501
101	39561	38009
102	39954	37626
103	40305	37205
104	40646	36775
105	40973	36335
106	41285	35883
107	41601	35438
108	42052	35108
109	42511	34782
110	42912	34407
111	43171	33920
112	43623	33586
113	44016	33205
114	44288	32735
115	44684	32357
116	45082	31981
117	45409	31556
118	45859	31215
119	46303	30868
120	46756	30527
121	46975	30033
122	47235	29570
123	47623	29188
124	47987	28792
125	48330	28384
126	48716	28002
127	49064	27598
128	49452	27217
129	49862	26849
130	50216	26449
131	50543	26037
132	50964	25673
133	51383	25308
134	51867	24973
135	52284	24604
136	52582	24180
137	53011	23816
138	53402	23435
139	53690	23010
140	53958	22578
141	54325	22189
142	54742	21820
143	55054	21410
144	55430	21025
145	55783	20632
146	56212	20267
147	56656	19906
148	57062	19531
149	57414	19138
150	57804	18757
151	58176	18371
152	58560	17989
153	58882	17588
154	59229	17195
155	59681	16833
156	60018	16438
157	60454	16070
158	60891	15701
159	61238	15309
160	61638	14930
161	62011	14545
162	62401	14164
163	62778	13780
164	63074	13379
