iter	Passed	Remaining
0	316	62931
1	703	69610
2	1145	75200
3	1565	76694
4	1980	77257
5	2428	78523
6	2745	75710
7	3062	73506
8	3455	73341
9	3774	71706
10	4120	70803
11	4456	69814
12	4901	70505
13	5299	70414
14	5629	69434
15	5974	68703
16	6381	68699
17	6793	68693
18	7073	67382
19	7426	66841
20	7858	66983
21	8201	66358
22	8515	65533
23	8835	64794
24	9217	64520
25	9567	64029
26	9965	63854
27	10385	63799
28	10769	63504
29	11079	62781
30	11452	62436
31	11862	62276
32	12263	62060
33	12639	61711
34	13007	61319
35	13387	60989
36	13733	60499
37	14156	60352
38	14564	60126
39	14941	59765
40	15366	59590
41	15755	59271
42	16158	58997
43	16558	58707
44	16866	58094
45	17295	57902
46	17715	57670
47	18105	57333
48	18469	56916
49	18857	56572
50	19242	56218
51	19514	55542
52	19957	55353
53	20314	54924
54	20656	54458
55	21141	54364
56	21598	54186
57	22031	53940
58	22334	53374
59	22695	52955
60	23059	52544
61	23479	52261
62	23886	51942
63	24341	51726
64	24738	51380
65	25103	50966
66	25488	50595
67	25854	50188
68	26211	49764
69	26633	49462
70	27025	49103
71	27374	48666
72	27788	48343
73	28134	47905
74	28568	47613
75	28926	47196
76	29292	46791
77	29637	46356
78	30043	46016
79	30444	45667
80	30809	45263
81	31130	44797
82	31547	44471
83	31901	44054
84	32255	43640
85	32610	43227
86	32936	42780
87	33270	42343
88	33593	41897
89	33932	41473
90	34310	41096
91	34646	40672
92	34899	40153
93	35283	39788
94	35674	39429
95	36048	39052
96	36333	38580
97	36692	38189
98	37044	37793
99	37484	37484
100	37844	37094
101	38242	36742
102	38664	36412
103	39114	36105
104	39528	35763
105	39975	35450
106	40367	35086
107	40803	34758
108	41152	34356
109	41468	33928
110	41903	33598
111	42297	33233
112	42621	32814
113	42941	32394
114	43207	31935
115	43552	31537
116	43977	31198
117	44398	30853
118	44791	30488
119	45094	30063
120	45483	29695
121	45844	29310
122	46244	28949
123	46683	28612
124	47022	28213
125	47464	27876
126	47855	27507
127	48134	27075
128	48485	26685
129	48820	26287
130	49191	25909
131	49548	25525
132	49970	25173
133	50279	24764
134	50645	24384
135	51031	24014
136	51387	23630
137	51757	23253
138	52060	22846
139	52444	22476
140	52792	22090
141	53119	21696
142	53563	21350
143	53896	20959
144	54234	20571
145	54586	20189
146	54920	19801
147	55290	19426
148	55608	19033
149	55974	18658
150	56340	18282
151	56774	17928
152	57128	17549
153	57452	17161
154	57819	16786
155	58250	16429
156	58668	16068
157	59053	15697
158	59401	15317
159	59809	14952
160	60252	14595
161	60520	14196
162	60963	13838
163	61287	13453
164	61652	13077
165	61982	12695
166	62359	12322
167	62698	11942
168	62941	11545
169	63285	11168
170	63714	10805
171	64031	10423
172	64464	10060
173	64814	9684
174	65182	9311
175	65555	8939
176	65899	8563
177	66232	8186
178	66668	7821
179	67069	7452
180	67492	7084
181	67905	6715
182	68308	6345
183	68638	5968
184	68955	5590
185	69343	5219
186	69746	4848
187	70135	4476
188	70591	4108
189	70998	3736
190	71316	3360
191	71679	2986
192	72028	2612
193	72385	2238
194	72795	1866
195	73138	1492
196	73485	1119
197	73844	745
198	74240	373
199	74637	0
