feature,mean_abs_shap
L4_DST_PORT,1.78158925786991
IN_BYTES,1.7038075006417555
TCP_WIN_MAX_IN,1.1870159316480902
TCP_WIN_MIN_IN,0.895230981225512
TCP_WIN_MSS_IN,0.6253169015914797
FLOW_ID,0.4958896441442206
FLOW_DURATION_MILLISECONDS,0.4638647433917338
TCP_WIN_SCALE_IN,0.4617633865722259
OUT_BYTES,0.4203503768915837
L4_SRC_PORT,0.4104386136097148
FIRST_SWITCHED,0.3750895169386763
OUT_PKTS,0.34556983553715814
TOTAL_FLOWS_EXP,0.27571729538222645
LAST_SWITCHED,0.2644383512972492
TCP_FLAGS,0.2401314156432314
ANALYSIS_TIMESTAMP,0.23865508267118143
ANOMALY,0.22606569003784058
PROTOCOL_MAP,0.19228328113009155
SRC_TOS,0.14729305401783904
IN_PKTS,0.1470684507248412
TCP_WIN_MAX_OUT,0.12653998970563282
PROTOCOL,0.08338137496487746
TCP_WIN_MIN_OUT,0.07465654425677345
DST_TOS,0.0037784245533984736
TCP_WIN_SCALE_OUT,0.0027512057070310596
MAX_IP_PKT_LEN,0.0
MIN_IP_PKT_LEN,0.0
TOTAL_PKTS_EXP,0.0
TOTAL_BYTES_EXP,0.0
