iter	MultiClass
0	6.946262682e-06
1	6.94606278e-06
2	6.944088819e-06
3	6.944026533e-06
4	6.943844104e-06
5	6.943418846e-06
6	6.942899547e-06
7	6.942737857e-06
8	6.942652104e-06
9	6.94131282e-06
10	6.940787121e-06
11	6.940206322e-06
12	6.939070316e-06
13	6.938479374e-06
14	6.938328542e-06
15	6.938013774e-06
16	6.937932975e-06
17	6.937720366e-06
18	6.937685572e-06
19	6.936857312e-06
20	6.936355742e-06
21	6.935174831e-06
22	6.934808897e-06
23	6.93268477e-06
24	6.932624039e-06
25	6.932396792e-06
26	6.932068876e-06
27	6.931919181e-06
28	6.930540472e-06
29	6.929278695e-06
30	6.928697801e-06
31	6.927892191e-06
32	6.927547499e-06
33	6.926877202e-06
34	6.926144231e-06
35	6.924775386e-06
36	6.924217881e-06
37	6.923407564e-06
38	6.921598242e-06
39	6.921299429e-06
40	6.920958745e-06
41	6.920264559e-06
42	6.918320124e-06
43	6.917701272e-06
44	6.916709169e-06
45	6.916246908e-06
46	6.91556032e-06
47	6.913209996e-06
48	6.910076131e-06
49	6.907807932e-06
50	6.90629625e-06
51	6.905348645e-06
52	6.904441404e-06
53	6.904394834e-06
54	6.896691282e-06
55	6.896321875e-06
56	6.896069622e-06
57	6.894905407e-06
58	6.892886923e-06
59	6.891486243e-06
60	6.890053468e-06
61	6.888023908e-06
62	6.887571807e-06
63	6.887316095e-06
64	6.887278858e-06
65	6.886941463e-06
66	6.886548347e-06
67	6.884160712e-06
68	6.883060595e-06
69	6.882194432e-06
70	6.881375571e-06
71	6.880958495e-06
72	6.879653641e-06
73	6.877393711e-06
74	6.877114522e-06
75	6.87698568e-06
76	6.874240783e-06
77	6.872906891e-06
78	6.872727924e-06
79	6.869853408e-06
80	6.869677274e-06
81	6.868391438e-06
82	6.868293669e-06
83	6.8669879e-06
84	6.86694617e-06
85	6.86581519e-06
86	6.86430014e-06
87	6.861859114e-06
88	6.858853372e-06
89	6.857649925e-06
90	6.857608811e-06
91	6.857194108e-06
92	6.856794551e-06
93	6.856361371e-06
94	6.85512587e-06
95	6.854565381e-06
96	6.853556635e-06
97	6.849984334e-06
98	6.849841006e-06
99	6.849739662e-06
100	6.849595487e-06
101	6.848060499e-06
102	6.846269386e-06
103	6.846001164e-06
104	6.845336017e-06
105	6.844999613e-06
106	6.844839233e-06
107	6.844710993e-06
108	6.841348934e-06
109	6.840751098e-06
110	6.840577495e-06
111	6.840369208e-06
112	6.838453897e-06
113	6.83734972e-06
114	6.837306514e-06
115	6.836142175e-06
116	6.836134224e-06
117	6.836073019e-06
118	6.835184954e-06
119	6.834150201e-06
120	6.833119796e-06
121	6.832581081e-06
122	6.831835288e-06
123	6.831527064e-06
124	6.830819542e-06
125	6.830694646e-06
126	6.829020013e-06
127	6.828869165e-06
128	6.82877489e-06
129	6.828742683e-06
130	6.828597246e-06
131	6.825264188e-06
132	6.825155088e-06
133	6.822754915e-06
134	6.821861465e-06
135	6.821702686e-06
136	6.820351693e-06
137	6.819757847e-06
138	6.818206643e-06
139	6.817475824e-06
140	6.816221418e-06
141	6.815756833e-06
142	6.81509371e-06
143	6.814893125e-06
144	6.813252758e-06
145	6.812839406e-06
146	6.812492803e-06
147	6.812359095e-06
148	6.811560711e-06
149	6.806749276e-06
150	6.80611504e-06
151	6.805909656e-06
152	6.804722076e-06
153	6.802055561e-06
154	6.801279021e-06
155	6.801177225e-06
156	6.800413787e-06
157	6.800168581e-06
158	6.797669448e-06
159	6.796914012e-06
160	6.796320586e-06
161	6.795955667e-06
162	6.795547093e-06
163	6.794020123e-06
164	6.793479407e-06
165	6.793304989e-06
166	6.793291622e-06
167	6.792956238e-06
168	6.792378441e-06
169	6.791518866e-06
170	6.791288685e-06
171	6.791279297e-06
172	6.79079437e-06
173	6.790106443e-06
174	6.788624544e-06
175	6.787507e-06
