iter	Passed	Remaining
0	1445	1444490
1	2777	1385920
2	4064	1350899
3	5466	1361280
4	6621	1317646
5	7850	1300503
6	9018	1279374
7	10276	1274274
8	11464	1262325
9	12524	1239954
10	13337	1199150
11	14521	1195628
12	15637	1187284
13	17039	1200087
14	18294	1201325
15	19560	1202958
16	20810	1203354
17	21938	1196884
18	23206	1198166
19	24302	1190811
20	25175	1173657
21	26172	1163477
22	27324	1160678
23	28644	1164868
24	29671	1157188
25	30836	1155199
26	32034	1154434
27	33114	1149538
28	34254	1146943
29	35347	1142903
30	36697	1147098
31	37922	1147145
32	39057	1144507
33	40289	1144705
34	41563	1145969
35	42488	1137760
36	43641	1135865
37	44504	1126667
38	45773	1127904
39	46925	1126213
40	48128	1125747
41	49501	1129113
42	50787	1130306
43	51980	1129392
44	53239	1129852
45	54457	1129402
46	55740	1130218
47	56840	1127342
48	58061	1126861
49	59396	1128540
50	60601	1127659
51	61850	1127581
52	62928	1124400
53	64043	1121938
54	65426	1124149
55	66521	1121356
56	67896	1123263
57	68755	1116684
58	70012	1116644
59	71244	1116162
60	72359	1113861
61	73664	1114471
62	74682	1110761
63	75935	1110562
64	77168	1110040
65	78388	1109312
66	79624	1108794
67	80756	1106837
68	81667	1101914
69	82928	1101767
70	84172	1101359
71	85390	1100582
72	86170	1094248
73	86836	1086626
74	87967	1084928
75	88841	1080122
76	90196	1081188
77	91329	1079560
78	92471	1078058
79	93595	1076350
80	94831	1075927
81	95977	1074476
82	97298	1074972
83	98600	1075212
84	99983	1076291
85	100868	1072016
86	101964	1070041
87	103207	1069604
88	103837	1062870
89	105025	1061922
90	106266	1061497
91	107436	1060354
92	108447	1057652
93	109564	1056015
94	110783	1055362
95	111919	1053909
96	113228	1054072
97	114417	1053104
98	115533	1051468
99	116698	1050282
100	118144	1051603
101	119240	1049781
102	120464	1049091
103	121659	1048146
104	122866	1047288
105	123367	1040480
106	124826	1041777
107	126046	1041053
108	127107	1039017
109	127658	1032871
110	128811	1031652
111	130035	1030993
112	131072	1028857
113	132159	1027130
114	133448	1026974
115	134742	1026831
116	135896	1025611
117	137320	1026413
118	138541	1025672
119	139626	1023927
120	140687	1022017
121	141493	1018289
122	142656	1017153
123	143696	1015148
124	144836	1013856
125	146211	1014199
126	147480	1013782
127	148673	1012835
128	149809	1011503
129	151054	1010903
130	152334	1010526
131	153468	1009170
132	154705	1008492
133	155920	1007662
134	157166	1007031
135	158505	1006979
136	159769	1006429
137	160924	1005194
138	162195	1004676
139	162868	1000476
140	164164	1000120
141	165434	999598
142	166854	999962
143	167932	998264
144	169175	997554
145	170389	996663
146	171613	995823
147	172679	994071
148	173916	993307
149	175274	993221
150	176480	992264
151	177636	991023
152	178759	989601
153	179871	988122
154	181287	988310
155	182561	987705
156	183723	986490
157	184874	985215
158	186158	984648
159	187258	983106
160	188326	981401
161	189588	980712
162	190621	978836
163	191729	977352
164	192958	976485
165	194269	976031
166	195431	974815
167	196697	974123
168	198054	973867
169	199327	973188
170	200542	972219
171	201599	970489
172	202986	970343
173	204134	969051
174	205484	968712
175	206609	967309
176	207817	966291
177	208962	964983
178	210175	963989
179	211205	962157
180	212307	960663
181	213371	958997
182	214577	957976
183	215965	957761
184	217142	956601
185	218398	955787
186	219728	955290
187	220843	953854
188	222168	953327
189	223279	951877
190	224414	950528
191	225555	949212
192	226768	948199
193	227928	946961
194	229225	946291
195	230411	945157
196	231716	944509
197	232874	943259
198	234257	942917
199	235359	941437
200	236418	939791
201	237600	938638
202	238854	937767
203	240055	936688
204	241367	936036
205	242683	935390
206	243987	934697
207	245315	934087
208	246461	932780
209	247706	931847
210	249039	931241
211	249492	927357
212	250881	926966
213	252145	926104
214	253350	925022
215	254702	924477
216	255960	923581
217	257284	922920
218	258443	921664
219	259754	920949
220	261059	920206
221	262324	919316
222	263666	918693
223	264762	917214
224	266006	916243
225	267095	914742
226	268184	913245
227	269320	911910
228	270156	909565
229	271312	908305
230	272543	907297
231	273871	906608
232	275124	905667
233	276352	904641
234	277723	904079
235	278896	902869
236	280155	901936
237	281405	900969
238	282826	900549
239	283907	899039
240	285073	897804
241	286347	896905
242	287379	895251
243	288588	894150
244	289888	893328
245	291097	892226
246	292243	890928
247	293416	889714
248	294574	888455
249	295104	885312
250	296354	884339
251	297592	883328
252	298482	881289
253	299680	880164
254	300845	878939
255	302098	877973
256	303394	877127
257	304310	875188
258	305394	873736
259	306451	872207
260	307746	871359
261	308878	870047
262	310223	869332
263	311509	868449
264	312690	867272
265	313726	865695
266	314957	864659
267	316106	863396
268	316958	861325
269	318181	860267
270	319292	858907
271	320475	857743
272	321867	857134
273	323319	856677
274	324550	855632
275	325771	854561
276	326786	852949
277	327916	851640
278	329291	850963
279	330607	850134
280	331248	847572
281	332532	846660
282	333719	845500
283	334866	844239
284	336201	843453
285	337423	842379
286	338644	841300
287	339929	840380
288	341269	839592
289	342485	838497
290	343734	837484
291	344799	836021
292	346097	835123
293	347352	834117
294	348609	833117
295	349875	832136
296	351250	831412
297	352315	829951
298	353559	828912
299	354740	827727
300	356032	826799
301	357351	825930
302	358659	825035
303	359912	824011
304	361001	822609
305	362326	821747
306	363510	820563
307	364711	819416
308	365799	818016
309	366894	816635
310	368132	815573
311	369300	814355
312	370573	813367
313	371242	811057
314	372541	810128
315	373607	808694
316	374722	807367
317	376052	806501
318	377251	805354
319	378542	804401
320	379690	803145
321	381008	802247
322	382310	801314
323	383544	800234
324	384816	799235
325	386008	798067
326	387233	796967
327	388494	795939
328	389923	795253
329	391140	794132
330	392340	792978
331	393419	791579
332	394692	790570
333	395921	789472
334	397077	788228
335	398375	787266
336	399604	786164
337	400820	785039
338	402078	783994
339	403202	782686
340	404218	781172
