,precision,recall,f1-score,support
Denial of Service,1.0,1.0,1.0,514795.0
Malware,1.0,1.0,1.0,114.0
Port Scanning,1.0,1.0,1.0,350844.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,865753.0
weighted avg,1.0,1.0,1.0,865753.0
