iter	MultiClass
0	6.90296749e-06
1	6.902919247e-06
2	6.902029253e-06
3	6.900889659e-06
4	6.89984122e-06
5	6.898679467e-06
6	6.898462357e-06
7	6.898330632e-06
8	6.897432557e-06
9	6.895833027e-06
10	6.893864482e-06
11	6.893026073e-06
12	6.892882029e-06
13	6.892476966e-06
14	6.88826391e-06
15	6.888144384e-06
16	6.888017932e-06
17	6.887791695e-06
18	6.887734919e-06
19	6.887346652e-06
20	6.885646669e-06
21	6.881866253e-06
22	6.881112256e-06
23	6.878994501e-06
24	6.878736059e-06
25	6.878378463e-06
26	6.87747796e-06
27	6.876597952e-06
28	6.87602714e-06
29	6.875888634e-06
30	6.874525047e-06
31	6.873579819e-06
32	6.873148941e-06
33	6.872014387e-06
34	6.871879714e-06
35	6.868499131e-06
36	6.868418186e-06
37	6.868346719e-06
38	6.868017817e-06
39	6.867966205e-06
40	6.86761752e-06
41	6.866941984e-06
42	6.866897611e-06
43	6.866751958e-06
44	6.865977071e-06
45	6.862646887e-06
46	6.861332366e-06
47	6.860908363e-06
48	6.860783419e-06
49	6.860417882e-06
50	6.859987526e-06
51	6.858501548e-06
52	6.857236047e-06
53	6.85658468e-06
54	6.854996603e-06
55	6.853147181e-06
56	6.848323538e-06
57	6.848153827e-06
58	6.845677453e-06
59	6.845542436e-06
60	6.845026415e-06
61	6.844763374e-06
62	6.841878871e-06
63	6.840750369e-06
64	6.840627221e-06
65	6.840173146e-06
66	6.839722777e-06
67	6.83679339e-06
68	6.83484246e-06
69	6.834092232e-06
70	6.834038439e-06
71	6.827996351e-06
72	6.827470277e-06
73	6.827198779e-06
74	6.82574274e-06
75	6.824371979e-06
76	6.823028114e-06
77	6.822735519e-06
78	6.822313027e-06
79	6.822082308e-06
80	6.819254864e-06
81	6.818938243e-06
82	6.816316789e-06
83	6.815961796e-06
84	6.815552849e-06
85	6.815445521e-06
86	6.8146462e-06
87	6.813179478e-06
88	6.812778753e-06
89	6.811319559e-06
90	6.811230838e-06
91	6.810973832e-06
92	6.810412469e-06
93	6.810285712e-06
