iter	Passed	Remaining
0	1174	1173060
1	2347	1171438
2	3561	1183614
3	4954	1233680
4	6184	1230762
5	7293	1208245
6	8523	1209117
7	9737	1207447
8	11053	1217062
9	12315	1219233
10	13586	1221570
11	14833	1221305
12	15822	1201277
13	16912	1191099
14	18034	1184297
15	19150	1177758
16	20418	1180694
17	21726	1185274
18	22928	1183820
19	24131	1182446
20	25313	1180081
21	26512	1178602
22	27840	1182620
23	29108	1183751
24	30212	1178284
25	31555	1182118
26	32877	1184808
27	34090	1183419
28	35288	1181568
29	36351	1175351
30	37563	1174176
31	38854	1175361
32	40056	1173789
33	41392	1176047
34	42690	1177025
35	43901	1175596
36	45185	1176040
37	46239	1170589
38	47481	1169985
39	48734	1169631
40	49849	1165997
41	51074	1164979
42	52229	1162403
43	53404	1160330
44	54584	1158411
45	55790	1157041
46	56857	1152879
47	58092	1152163
48	59248	1149906
49	60485	1149215
50	61598	1146210
51	62641	1141995
52	63827	1140466
53	65040	1139412
54	66183	1137151
55	67260	1133815
56	68501	1133275
57	69769	1133152
58	70968	1131892
59	72048	1128766
60	73258	1127696
61	74440	1126212
62	75667	1125411
63	76917	1124922
64	78050	1122728
65	79243	1121410
66	80423	1119927
67	81731	1120200
68	83063	1120756
69	84369	1120908
70	85412	1117577
71	86802	1118784
72	87995	1117421
73	89174	1115884
74	90504	1116217
75	91626	1113980
76	92703	1111236
77	93980	1110901
78	95277	1110764
79	96361	1108159
80	97410	1105188
81	98562	1103417
82	99834	1102989
83	100956	1100910
84	102090	1098974
85	103294	1097801
86	104618	1097891
87	105885	1097361
88	107154	1096833
89	108458	1096634
90	109653	1095332
91	110695	1092515
92	111932	1091646
93	113132	1090402
94	114404	1089856
95	115635	1088897
96	116834	1087642
97	117957	1085688
98	119206	1084901
99	120424	1083819
100	121687	1083138
101	122920	1082180
102	124084	1080616
103	125203	1078678
104	126409	1077486
105	127537	1075645
106	128760	1074606
107	130094	1074483
108	131238	1072782
109	132467	1071781
110	133682	1070664
111	134842	1069109
112	135954	1067183
113	137223	1066490
114	138501	1065856
115	139659	1064299
116	140754	1062277
117	142015	1061508
118	143220	1060311
119	144413	1059032
120	145721	1058587
121	147021	1058071
122	148330	1057612
123	149715	1057666
124	150850	1055954
125	152145	1055361
126	153383	1054357
127	154585	1053116
128	155593	1050559
129	156787	1049272
130	157952	1047793
131	159164	1046628
132	160427	1045795
133	161642	1044644
134	162802	1043140
135	164027	1042056
136	165067	1039803
137	166226	1038310
138	167285	1036205
139	168231	1033420
140	169354	1031739
141	170512	1030280
142	171808	1029647
143	172509	1025473
144	173720	1024352
145	175010	1023691
146	176215	1022531
147	177637	1022616
148	179042	1022586
149	180273	1021550
150	181558	1020816
151	182765	1019639
152	184035	1018808
153	185140	1017069
154	186412	1016249
155	187534	1014608
156	188763	1013554
157	189937	1012197
158	191192	1011277
159	192523	1010746
160	193739	1009613
161	194885	1008112
162	196123	1007086
163	197330	1005902
164	198560	1004835
165	199827	1003953
166	200978	1002487
167	201846	999618
168	203107	998711
169	204164	996801
170	205535	996427
171	206836	995701
172	208117	994874
173	209209	993142
