iter	MultiClass
0	7.023669535e-06
1	7.023559372e-06
2	7.020958365e-06
3	7.02069737e-06
4	7.020628075e-06
5	7.019904735e-06
6	7.019531194e-06
7	7.019338773e-06
8	7.018908949e-06
9	7.018577064e-06
10	7.018115251e-06
11	7.016273776e-06
12	7.016012409e-06
13	7.015834503e-06
14	7.014590388e-06
15	7.012331569e-06
16	7.012031732e-06
17	7.011940205e-06
18	7.011489806e-06
19	7.008847988e-06
20	7.008800084e-06
21	7.007189475e-06
22	7.007098755e-06
23	7.005566892e-06
24	7.00448717e-06
25	7.003558822e-06
26	7.003025536e-06
27	7.002493087e-06
28	7.000076303e-06
29	6.998709796e-06
30	6.996548052e-06
31	6.994461164e-06
32	6.99434366e-06
33	6.99423877e-06
34	6.991043535e-06
35	6.99072659e-06
36	6.990167521e-06
37	6.989772094e-06
38	6.987300489e-06
39	6.986664513e-06
40	6.986369296e-06
41	6.985831798e-06
42	6.984939201e-06
43	6.984056732e-06
44	6.983990615e-06
45	6.98371718e-06
46	6.983182792e-06
47	6.981918414e-06
48	6.98164101e-06
49	6.98155732e-06
50	6.980762762e-06
51	6.980017395e-06
52	6.979407757e-06
53	6.979275634e-06
54	6.976049638e-06
55	6.975529545e-06
56	6.974265943e-06
57	6.97101898e-06
58	6.970535334e-06
59	6.968696088e-06
60	6.965133502e-06
61	6.964973405e-06
62	6.964393615e-06
63	6.962510078e-06
64	6.960252734e-06
65	6.960147189e-06
66	6.959888435e-06
67	6.958394366e-06
68	6.957788667e-06
69	6.957361065e-06
70	6.957268603e-06
71	6.956620233e-06
72	6.955856738e-06
73	6.95534429e-06
74	6.955110325e-06
75	6.954310199e-06
76	6.954244359e-06
77	6.951774116e-06
78	6.949961043e-06
79	6.947867535e-06
80	6.9434671e-06
81	6.942472813e-06
82	6.942426406e-06
83	6.941232094e-06
84	6.938469316e-06
85	6.937852586e-06
86	6.937042143e-06
87	6.93653845e-06
88	6.936410682e-06
89	6.936005761e-06
90	6.935081224e-06
91	6.935066359e-06
92	6.932412968e-06
93	6.932333081e-06
94	6.93026082e-06
95	6.929889063e-06
96	6.929605621e-06
97	6.92954949e-06
98	6.929325132e-06
99	6.928620421e-06
100	6.927937829e-06
101	6.927633821e-06
102	6.926803553e-06
103	6.92576664e-06
104	6.924503846e-06
105	6.923062207e-06
106	6.92292732e-06
107	6.922011461e-06
108	6.918192644e-06
109	6.916184904e-06
110	6.915190503e-06
111	6.915039355e-06
112	6.914868141e-06
113	6.914754889e-06
114	6.91231089e-06
115	6.911721799e-06
116	6.908600748e-06
117	6.907166722e-06
118	6.906761321e-06
119	6.906559394e-06
120	6.906267763e-06
121	6.90592673e-06
122	6.903878776e-06
123	6.903528889e-06
124	6.903462873e-06
125	6.902307453e-06
126	6.902129696e-06
127	6.899317309e-06
128	6.898820182e-06
129	6.896977615e-06
130	6.896837993e-06
131	6.896677218e-06
132	6.896347671e-06
133	6.893500165e-06
134	6.890360133e-06
135	6.89009683e-06
136	6.888805888e-06
137	6.888148156e-06
138	6.884875154e-06
139	6.884782829e-06
140	6.883982061e-06
141	6.883613883e-06
142	6.882145992e-06
143	6.881303245e-06
144	6.881032691e-06
145	6.879911479e-06
146	6.879640308e-06
147	6.878768936e-06
148	6.877761651e-06
149	6.877557333e-06
150	6.877419141e-06
151	6.877284435e-06
152	6.874015776e-06
153	6.873933792e-06
154	6.87374992e-06
155	6.865476545e-06
156	6.865433435e-06
157	6.86502564e-06
