iter	MultiClass
0	7.832806508e-06
1	7.832618287e-06
2	7.832101986e-06
3	7.831012456e-06
4	7.829492741e-06
5	7.828753374e-06
6	7.828208219e-06
7	7.82818102e-06
8	7.826855091e-06
9	7.825496152e-06
10	7.824838701e-06
11	7.824721576e-06
12	7.822423962e-06
13	7.822248201e-06
14	7.820838065e-06
15	7.820266918e-06
16	7.819364627e-06
17	7.819248091e-06
18	7.817057827e-06
19	7.815092474e-06
20	7.814300639e-06
21	7.81348252e-06
22	7.813006022e-06
23	7.812635911e-06
24	7.811033785e-06
25	7.810988436e-06
26	7.810851645e-06
27	7.809674954e-06
28	7.805416994e-06
29	7.805333502e-06
30	7.802258016e-06
31	7.80125331e-06
32	7.801108974e-06
33	7.800787872e-06
34	7.79876286e-06
35	7.798721101e-06
36	7.797303874e-06
37	7.796552218e-06
38	7.795166357e-06
39	7.792999456e-06
40	7.790058145e-06
41	7.789700092e-06
42	7.789313093e-06
43	7.78828047e-06
44	7.785361462e-06
45	7.785144547e-06
46	7.784820112e-06
47	7.784802348e-06
48	7.784030718e-06
49	7.783823069e-06
50	7.783472843e-06
51	7.782346979e-06
52	7.782068136e-06
53	7.781221173e-06
54	7.780338329e-06
55	7.780289612e-06
56	7.780246808e-06
57	7.77960909e-06
58	7.779003498e-06
59	7.776193234e-06
60	7.776107959e-06
61	7.775942874e-06
62	7.77547984e-06
63	7.774648244e-06
64	7.773785252e-06
65	7.771891885e-06
66	7.77031388e-06
67	7.764436157e-06
68	7.76441584e-06
69	7.763905604e-06
70	7.763796912e-06
71	7.762743424e-06
72	7.76256785e-06
73	7.762553331e-06
74	7.762327159e-06
75	7.762233678e-06
76	7.761242982e-06
77	7.75995364e-06
78	7.759780387e-06
79	7.759654717e-06
80	7.759563456e-06
81	7.759491834e-06
82	7.757775229e-06
83	7.75598541e-06
84	7.755592821e-06
85	7.755231585e-06
86	7.753736891e-06
87	7.753666903e-06
88	7.753147124e-06
89	7.752213707e-06
90	7.748184667e-06
91	7.74804341e-06
92	7.747260726e-06
93	7.745886326e-06
94	7.745866504e-06
95	7.745732368e-06
96	7.745437977e-06
97	7.744016944e-06
98	7.743317947e-06
99	7.742254912e-06
100	7.739310852e-06
101	7.738553664e-06
102	7.738442118e-06
103	7.738181635e-06
104	7.737847334e-06
105	7.736400683e-06
106	7.736232259e-06
107	7.736154485e-06
108	7.733290322e-06
109	7.733118238e-06
110	7.732649795e-06
111	7.73255537e-06
112	7.732200247e-06
113	7.731797646e-06
114	7.731705708e-06
115	7.727681841e-06
116	7.726271499e-06
117	7.726063909e-06
118	7.725986599e-06
119	7.724877177e-06
120	7.723081464e-06
121	7.721273082e-06
122	7.720926553e-06
123	7.718845112e-06
124	7.718737569e-06
125	7.718642064e-06
126	7.718059424e-06
127	7.717709668e-06
128	7.717629884e-06
129	7.717028029e-06
130	7.715763007e-06
131	7.715595566e-06
132	7.713140102e-06
133	7.709643569e-06
134	7.709591134e-06
135	7.709113172e-06
136	7.707218625e-06
137	7.70445792e-06
138	7.703709683e-06
139	7.703217606e-06
140	7.702475904e-06
141	7.69724901e-06
142	7.694723771e-06
143	7.694301709e-06
144	7.690637193e-06
145	7.690585668e-06
146	7.690364255e-06
147	7.689094806e-06
148	7.68810825e-06
149	7.688026008e-06
150	7.687759968e-06
151	7.687740422e-06
152	7.687693998e-06
153	7.687262522e-06
154	7.682852783e-06
155	7.682824625e-06
156	7.682762125e-06
157	7.682172028e-06
158	7.678341706e-06
159	7.678089655e-06
160	7.677916547e-06
161	7.67582263e-06
162	7.675714069e-06
163	7.675511884e-06
164	7.675210564e-06
165	7.671037755e-06
166	7.67100905e-06
167	7.670952612e-06
168	7.670897826e-06
169	7.670626648e-06
170	7.666229536e-06
171	7.666080457e-06
172	7.663842603e-06
173	7.65848027e-06
174	7.657601155e-06
175	7.656620913e-06
176	7.656320103e-06
177	7.655678655e-06
178	7.655573678e-06
179	7.653479192e-06
180	7.653220749e-06
181	7.652055334e-06
182	7.650517733e-06
183	7.650426878e-06
184	7.650043341e-06
185	7.649254464e-06
186	7.648079763e-06
187	7.647750027e-06
188	7.647408759e-06
189	7.641895359e-06
190	7.641851052e-06
191	7.641709789e-06
192	7.640813942e-06
193	7.640669921e-06
194	7.639930828e-06
195	7.63987516e-06
196	7.63952469e-06
197	7.638953519e-06
198	7.638876019e-06
199	7.638807796e-06
200	7.637159961e-06
201	7.63672282e-06
202	7.636593325e-06
203	7.635922139e-06
204	7.634504011e-06
205	7.633836749e-06
206	7.630661337e-06
207	7.627734547e-06
208	7.627609046e-06
209	7.627501166e-06
210	7.623337185e-06
211	7.622892715e-06
212	7.620033292e-06
213	7.619939166e-06
214	7.618982555e-06
215	7.618750731e-06
216	7.618189762e-06
217	7.617210059e-06
218	7.616429557e-06
219	7.616147539e-06
220	7.616089802e-06
221	7.615796046e-06
222	7.615732789e-06
223	7.615462301e-06
224	7.610436855e-06
225	7.609428715e-06
226	7.608622073e-06
227	7.60812806e-06
228	7.607758977e-06
229	7.606547349e-06
230	7.605323847e-06
231	7.599884518e-06
232	7.599190329e-06
233	7.599142587e-06
234	7.598365913e-06
235	7.598184287e-06
236	7.598021547e-06
237	7.597929363e-06
238	7.597673032e-06
239	7.597594975e-06
240	7.595649869e-06
241	7.595405069e-06
242	7.595389156e-06
243	7.594794347e-06
244	7.593881325e-06
245	7.593686328e-06
246	7.591476534e-06
247	7.590727948e-06
248	7.590676851e-06
249	7.590535706e-06
250	7.590207029e-06
251	7.588680694e-06
252	7.588562788e-06
253	7.588086915e-06
254	7.587726565e-06
255	7.587110717e-06
256	7.586578324e-06
257	7.584701646e-06
258	7.584541394e-06
259	7.584239149e-06
260	7.584036281e-06
261	7.583446339e-06
262	7.583307419e-06
263	7.582049059e-06
264	7.581435976e-06
265	7.581126081e-06
266	7.581047883e-06
267	7.577216034e-06
268	7.576671057e-06
269	7.576653059e-06
270	7.574260544e-06
271	7.57336336e-06
272	7.572018125e-06
273	7.571940945e-06
274	7.570669367e-06
275	7.569342819e-06
276	7.566918261e-06
277	7.566398265e-06
278	7.564927022e-06
279	7.560584239e-06
280	7.556853033e-06
281	7.556129785e-06
282	7.5556971e-06
283	7.554308675e-06
284	7.553009693e-06
285	7.55298407e-06
286	7.552772766e-06
287	7.552576574e-06
288	7.552560009e-06
289	7.550560447e-06
290	7.549639973e-06
291	7.547732038e-06
292	7.546789566e-06
293	7.541727776e-06
294	7.541643085e-06
295	7.541612627e-06
296	7.538596874e-06
297	7.538022557e-06
298	7.536395426e-06
299	7.535350128e-06
300	7.529561579e-06
301	7.529364836e-06
302	7.528241068e-06
303	7.528195504e-06
304	7.528114979e-06
305	7.527757363e-06
306	7.527105433e-06
307	7.527081812e-06
308	7.526416136e-06
309	7.525975006e-06
310	7.525921963e-06
311	7.525032102e-06
312	7.524865149e-06
313	7.522743249e-06
314	7.522106075e-06
315	7.522064726e-06
316	7.521913247e-06
317	7.521411878e-06
318	7.520198602e-06
319	7.520133184e-06
320	7.51972154e-06
321	7.519364597e-06
322	7.51792529e-06
323	7.51765577e-06
324	7.517440574e-06
325	7.517150804e-06
326	7.512928245e-06
327	7.512809923e-06
328	7.512542499e-06
329	7.512495205e-06
330	7.512428662e-06
331	7.499696213e-06
332	7.499363653e-06
333	7.498706387e-06
334	7.497161987e-06
335	7.497090542e-06
336	7.496801651e-06
337	7.495341741e-06
338	7.493360284e-06
339	7.493232787e-06
340	7.492440175e-06
341	7.487187702e-06
342	7.48658487e-06
343	7.484924841e-06
344	7.484677562e-06
345	7.48460829e-06
346	7.483890011e-06
347	7.483792675e-06
348	7.481340392e-06
349	7.481257182e-06
350	7.481147742e-06
351	7.481044963e-06
352	7.479702093e-06
353	7.479684974e-06
354	7.479535141e-06
355	7.474865822e-06
356	7.474770486e-06
357	7.474755695e-06
358	7.471849868e-06
359	7.471533604e-06
360	7.470906379e-06
361	7.468575265e-06
362	7.46850396e-06
363	7.467486677e-06
364	7.46747559e-06
365	7.467294295e-06
366	7.462604983e-06
367	7.462525584e-06
368	7.459489791e-06
369	7.458556471e-06
370	7.457476087e-06
371	7.457211256e-06
372	7.456940517e-06
