iter	Passed	Remaining
0	1320	1319370
1	2499	1247225
2	3862	1283525
3	5139	1279720
4	6280	1249885
5	7741	1282528
6	9050	1283810
7	10226	1268089
8	11618	1279358
9	12905	1277634
10	14096	1267411
11	15256	1256093
12	16583	1259064
13	18035	1270238
14	19157	1258014
15	20594	1266544
16	21890	1265795
17	22976	1253488
18	24192	1249084
19	25421	1245665
20	26790	1248962
21	27993	1244417
22	29143	1237957
23	30384	1235625
24	31778	1239372
25	33085	1239434
26	34351	1237937
27	35603	1235954
28	36824	1232969
29	38024	1229444
30	39138	1223405
31	40285	1218635
32	41578	1218381
33	42766	1215083
34	44048	1214492
35	44759	1198552
36	46133	1200728
37	47392	1199770
38	48764	1201605
39	49750	1194016
40	50994	1192780
41	52178	1190174
42	53425	1189027
43	54776	1190134
44	55952	1187445
45	57067	1183526
46	58578	1187778
47	59675	1183561
48	60818	1180365
49	62147	1180802
50	63344	1178710
51	64481	1175538
52	65649	1173023
53	66844	1171014
54	68138	1170751
55	69448	1170701
56	70637	1168619
57	71858	1167073
58	73153	1166735
59	74372	1165165
60	75525	1162602
61	76672	1159973
62	78126	1161973
63	79467	1162209
64	80714	1161053
65	81978	1160118
66	83172	1158211
67	84510	1158295
68	85008	1147000
69	86224	1145558
70	87418	1143826
71	88617	1142180
72	89342	1134532
73	90500	1132478
74	91649	1130338
75	93020	1130936
76	93660	1122708
77	94764	1120160
78	96026	1119503
79	97265	1118553
80	98592	1118600
81	99804	1117320
82	100999	1115857
83	102202	1114494
84	103328	1112301
85	104395	1109507
86	105634	1108551
87	107028	1109201
88	108244	1107983
89	109610	1108285
90	110926	1108045
91	112209	1107460
92	113491	1106849
93	114884	1107292
94	115301	1098399
95	116444	1096517
96	117824	1096863
97	119192	1097058
98	120344	1095256
99	121624	1094620
100	122718	1092317
101	123921	1090993
102	125198	1090324
103	126385	1088857
104	127729	1088740
105	129053	1088431
106	130228	1086856
107	131786	1088460
108	133138	1088311
109	134307	1086668
110	135503	1085249
111	136759	1084307
112	138090	1083950
113	139184	1081729
114	140188	1078845
115	141408	1077632
116	142809	1077784
117	144015	1076453
118	145280	1075566
119	146479	1074185
120	147915	1074527
121	149012	1072404
122	150224	1071114
123	151377	1069409
124	152695	1068867
125	153970	1068015
126	155316	1067647
127	156570	1066639
128	157679	1064639
129	158888	1063327
130	160152	1062386
131	161320	1060803
132	162612	1060040
133	163719	1058065
134	165125	1058027
135	166342	1056762
136	167507	1055174
137	168698	1053754
138	169982	1052914
139	171229	1051841
140	172398	1050287
141	173728	1049709
142	174852	1047890
143	176101	1046826
144	177320	1045580
145	178478	1043979
146	179734	1042947
147	180848	1041098
148	182093	1040012
149	183244	1038383
150	184621	1038037
151	185960	1037463
152	186611	1033073
153	187905	1032258
154	189152	1031184
155	190197	1029015
156	191372	1027559
157	192690	1026867
158	193794	1025039
159	195034	1023932
160	195698	1019819
161	197002	1019063
162	198146	1017475
163	199414	1016528
164	200543	1014872
165	201869	1014213
166	203224	1013689
167	204295	1011748
168	205570	1010823
169	206906	1010190
170	208235	1009517
171	209462	1008342
172	210589	1006690
173	211812	1005499
174	212957	1003942
175	214302	1003326
176	215471	1001881
177	216606	1000285
178	217877	999316
179	219135	998282
180	220354	997074
181	221585	995917
182	222727	994362
183	223920	993037
184	225234	992250
185	226506	991269
186	227788	990332
187	228906	988680
188	230012	986984
189	231264	985917
190	232381	984273
191	232832	979837
192	233892	977987
193	235137	976910
194	236415	975971
195	237641	974815
196	238776	973286
197	240076	972432
198	241355	971486
199	242510	970040
200	243788	969088
201	245207	968690
202	246309	967035
203	247086	964120
204	248196	962518
205	249405	961300
206	250743	960577
207	252040	959692
208	253200	958286
209	254456	957241
210	255654	955978
211	256751	954339
212	257850	952715
213	258977	951198
214	260354	950598
215	261667	949757
216	262840	948406
217	264205	947745
218	265423	946555
219	266725	945662
220	267945	944476
221	269130	943170
222	270398	942149
223	271716	941302
224	272958	940189
225	274204	939089
226	275515	938209
227	276799	937232
228	277981	935910
229	279227	934804
230	280393	933430
231	281601	932199
232	282661	930478
233	283820	929088
234	285023	927842
235	286211	926549
236	287180	924550
237	288435	923477
238	289726	922519
239	291063	921699
240	292381	920819
241	293518	919367
242	294664	917945
243	295905	916820
244	297196	915850
245	298454	914773
246	299556	913222
247	300827	912186
248	301981	910795
249	303258	909774
250	304430	908440
251	305727	907475
252	306945	906277
253	308164	905082
254	309428	904017
255	310596	902669
256	311834	901528
257	312973	900101
258	314241	899044
259	315628	898328
260	316861	897166
261	318065	895923
262	319139	894317
263	320428	893316
264	321788	892508
265	322874	890939
266	323985	889441
267	325288	888475
268	326322	886773
269	326922	883900
270	328094	882585
271	329273	881289
272	330516	880167
273	331586	878583
274	332921	877702
275	334218	876717
276	335416	875474
277	336561	874091
278	337857	873102
279	339125	872036
280	340484	871202
281	341628	869819
282	342430	867570
283	343614	866296
284	344863	865182
285	345153	861676
286	346530	860893
287	347704	859602
288	348020	856201
289	349343	855288
290	350531	854043
291	351768	852917
292	353040	851876
293	354288	850775
294	355523	849640
295	356573	848066
296	357787	846885
297	358896	845454
298	360058	844151
299	361219	842844
300	362511	841845
301	363638	840462
302	364983	839583
303	366011	837972
304	367208	836753
305	368191	835049
306	369312	833659
307	370483	832384
308	371790	831415
309	372621	829383
310	373799	828128
311	374969	826854
312	376230	825783
313	377407	824527
314	378568	823236
315	379918	822354
316	381170	821259
317	382331	819969
318	383614	818938
319	384901	817915
320	385792	816053
321	386412	813626
322	387624	812450
323	388767	811132
324	389936	809867
325	391145	808686
326	392485	807775
327	393637	806476
328	394726	805050
329	396019	804040
330	397193	802786
331	398552	801907
332	399704	800610
333	400800	799200
334	401803	797609
335	402440	795298
336	403639	794103
337	404789	792813
338	405960	791564
339	407392	790821
340	408593	789627
341	409791	788428
342	411006	787262
343	412062	785794
344	413364	784794
345	414095	782711
346	415349	781623
347	416614	780554
348	417636	779028
349	418781	777736
350	420023	776624
351	421380	775723
352	422658	774675
353	423044	771996
354	424224	770774
355	425447	769629
356	426234	767698
357	426620	765056
358	428011	764221
359	429193	763010
360	430434	761904
361	431574	760620
362	432762	759420
363	434018	758339
364	434561	756018
365	435849	754996
366	437094	753898
367	438333	752790
368	439527	751604
369	440832	750606
370	442021	749410
371	443407	748547
372	444645	747433
373	445823	746217
374	447140	745234
375	448377	744115
376	449635	743030
377	451117	742314
378	452420	741301
379	453390	739742
380	454783	738873
381	455952	737640
382	457262	736633
383	458436	735408
384	459730	734374
385	461041	733366
386	461865	731585
387	463132	730507
388	464393	729419
389	465629	728292
390	466892	727206
391	468209	726203
392	469312	724867
393	470046	722964
394	471347	721937
395	472428	720572
396	473755	719583
397	475050	718543
398	476182	717256
399	477406	716109
400	477973	713980
401	479313	713008
402	480640	712016
403	481876	710887
404	483185	709865
405	484411	708719
406	485610	707536
407	486950	706555
408	487816	704888
409	489007	703693
410	490244	702564
411	491428	701358
412	492651	700209
413	493919	699123
414	495153	697986
415	496378	696839
416	497496	695541
417	498666	694314
418	499842	693098
419	500902	691722
420	502116	690559
421	503287	689336
422	504495	688164
423	505549	686784
424	506957	685884
425	508346	684955
426	509463	683658
427	510841	682713
428	512065	681559
429	513262	680371
430	514443	679160
431	515554	677858
432	516317	676101
433	517584	675007
434	518739	673765
