,precision,recall,f1-score,support
Denial of Service,0.5941486775096361,1.0,0.7454118751806883,514386.0
Malware,0.0,0.0,0.0,98.0
Port Scanning,0.0,0.0,0.0,351269.0
accuracy,0.5941486775096361,0.5941486775096361,0.5941486775096361,0.5941486775096361
macro avg,0.19804955916987868,0.3333333333333333,0.24847062506022943,865753.0
weighted avg,0.35301265098644957,0.5941486775096361,0.4428854798385839,865753.0
