,precision,recall,f1-score,support
Denial of Service,0.9999992218098679,1.0,0.9999996109047825,1285032.0
Malware,1.0,1.0,1.0,114.0
Port Scanning,1.0,0.9999988010728,0.9999994005360406,834079.0
accuracy,0.999999528129387,0.999999528129387,0.999999528129387,0.999999528129387
macro avg,0.9999997406032893,0.9999996003575999,0.9999996704802744,2119225.0
weighted avg,0.9999995281297541,0.999999528129387,0.9999995281293372,2119225.0
