iter	MultiClass
0	7.132641042e-06
1	7.131983279e-06
2	7.13190879e-06
3	7.131251732e-06
4	7.130624071e-06
5	7.126975811e-06
6	7.124765028e-06
7	7.124455963e-06
8	7.123112143e-06
9	7.121943014e-06
10	7.121098899e-06
11	7.120890787e-06
12	7.11876802e-06
13	7.118460251e-06
14	7.118250493e-06
15	7.115891075e-06
16	7.11385784e-06
17	7.112494158e-06
18	7.110444767e-06
19	7.109964461e-06
20	7.10886445e-06
21	7.106790168e-06
22	7.10473612e-06
23	7.103202289e-06
24	7.102961757e-06
25	7.10112673e-06
26	7.100806146e-06
27	7.099461262e-06
28	7.099223885e-06
29	7.098142337e-06
30	7.097844999e-06
31	7.097640224e-06
32	7.095959556e-06
33	7.095806592e-06
34	7.094973415e-06
35	7.093024142e-06
36	7.092544796e-06
37	7.091604024e-06
38	7.087507505e-06
39	7.080515158e-06
40	7.07845633e-06
41	7.077449542e-06
42	7.076796627e-06
43	7.07625174e-06
44	7.0755579e-06
45	7.075191925e-06
46	7.074452157e-06
47	7.073049407e-06
48	7.072517778e-06
49	7.071247786e-06
50	7.070944534e-06
51	7.070465205e-06
52	7.070296527e-06
53	7.066913933e-06
54	7.066351685e-06
55	7.066156627e-06
56	7.065553363e-06
57	7.062990331e-06
58	7.062148665e-06
59	7.061989547e-06
60	7.05888594e-06
61	7.058740309e-06
62	7.055661642e-06
63	7.055508526e-06
64	7.051740713e-06
65	7.051442296e-06
66	7.051292589e-06
67	7.050482846e-06
68	7.048357413e-06
69	7.045190455e-06
70	7.044473176e-06
71	7.042933241e-06
72	7.042182466e-06
73	7.039000912e-06
74	7.037106658e-06
75	7.036142536e-06
76	7.035675242e-06
77	7.035640128e-06
78	7.035199778e-06
79	7.033568753e-06
80	7.032233282e-06
81	7.031648494e-06
82	7.030751098e-06
83	7.029939593e-06
84	7.0290968e-06
85	7.028992444e-06
86	7.028701242e-06
87	7.028484157e-06
88	7.028038379e-06
89	7.026783059e-06
90	7.026075888e-06
91	7.025844174e-06
92	7.025352431e-06
93	7.024638437e-06
94	7.023950703e-06
95	7.023890814e-06
96	7.02364327e-06
97	7.02259902e-06
98	7.021314182e-06
99	7.021152048e-06
100	7.019530048e-06
101	7.016120447e-06
102	7.014551764e-06
103	7.014184398e-06
104	7.01412686e-06
105	7.013465564e-06
106	7.012971841e-06
107	7.012846506e-06
108	7.010958584e-06
109	7.010689193e-06
110	7.010503331e-06
111	7.010128503e-06
112	7.01000373e-06
113	7.009882247e-06
114	7.009712183e-06
115	7.009656786e-06
116	7.009350852e-06
117	7.00853309e-06
118	7.008354733e-06
119	7.007828051e-06
120	7.007612639e-06
121	7.007010523e-06
122	7.005888352e-06
123	7.005367784e-06
124	7.004754066e-06
125	7.004342182e-06
126	7.004182759e-06
127	7.001665906e-06
128	6.992052381e-06
129	6.991240104e-06
130	6.991066931e-06
131	6.989020347e-06
132	6.988201776e-06
133	6.987575446e-06
134	6.986047704e-06
135	6.985602574e-06
136	6.985508746e-06
137	6.985007714e-06
138	6.984880958e-06
139	6.984511023e-06
140	6.983637461e-06
141	6.983029001e-06
142	6.982872519e-06
143	6.98243252e-06
144	6.98090123e-06
145	6.980816015e-06
146	6.980740206e-06
147	6.979665183e-06
148	6.979643311e-06
149	6.978544485e-06
150	6.977944778e-06
151	6.97248117e-06
152	6.972201085e-06
153	6.971908895e-06
154	6.9709184e-06
155	6.970633462e-06
156	6.970468108e-06
157	6.970159438e-06
158	6.969537501e-06
159	6.963327632e-06
160	6.962986772e-06
161	6.962743766e-06
162	6.96192149e-06
163	6.96111404e-06
164	6.960383587e-06
165	6.960346961e-06
166	6.960103806e-06
167	6.959399497e-06
168	6.95936104e-06
169	6.959208607e-06
170	6.958369776e-06
171	6.95796049e-06
172	6.957828736e-06
173	6.957734572e-06
174	6.957511237e-06
175	6.956668867e-06
176	6.956024252e-06
177	6.955969473e-06
178	6.954121788e-06
179	6.953497751e-06
180	6.951667872e-06
181	6.950457993e-06
182	6.948647054e-06
183	6.945724277e-06
184	6.945615837e-06
185	6.945543661e-06
186	6.945104746e-06
187	6.944125448e-06
188	6.942641866e-06
189	6.942011869e-06
190	6.941429596e-06
191	6.941288258e-06
192	6.941206068e-06
193	6.940625198e-06
194	6.940402226e-06
195	6.938263248e-06
196	6.937764572e-06
197	6.937308294e-06
198	6.937126803e-06
199	6.937053534e-06
200	6.936459557e-06
201	6.936197428e-06
202	6.936083058e-06
203	6.935938096e-06
204	6.934297892e-06
205	6.933581778e-06
206	6.932311607e-06
207	6.93118849e-06
208	6.930633628e-06
209	6.930277272e-06
210	6.929323151e-06
211	6.927538118e-06
212	6.927023564e-06
213	6.926795715e-06
214	6.926315781e-06
215	6.926019577e-06
216	6.92566458e-06
217	6.924063962e-06
218	6.923529929e-06
219	6.922415831e-06
220	6.922281869e-06
221	6.921865338e-06
222	6.915874969e-06
223	6.915314971e-06
224	6.91466726e-06
225	6.914299225e-06
226	6.914283082e-06
227	6.914155083e-06
228	6.913209706e-06
229	6.911766346e-06
230	6.911571642e-06
231	6.910938309e-06
232	6.910020761e-06
233	6.909420638e-06
234	6.909322795e-06
235	6.909109212e-06
236	6.908980696e-06
237	6.905835855e-06
238	6.905571717e-06
239	6.905532194e-06
240	6.905455032e-06
241	6.905221408e-06
242	6.904889478e-06
243	6.904703041e-06
244	6.904305554e-06
245	6.904219358e-06
246	6.903436751e-06
247	6.903303915e-06
248	6.903011412e-06
249	6.90259108e-06
250	6.902477784e-06
251	6.9022117e-06
252	6.902114999e-06
253	6.90207664e-06
254	6.901976166e-06
255	6.901466959e-06
256	6.90123718e-06
257	6.900055195e-06
258	6.899741536e-06
259	6.899447571e-06
260	6.899441942e-06
261	6.898392466e-06
262	6.897089788e-06
263	6.896951671e-06
264	6.893113562e-06
265	6.893034128e-06
266	6.892861722e-06
267	6.892821323e-06
268	6.892686171e-06
269	6.892290002e-06
270	6.892109035e-06
271	6.891833429e-06
272	6.891700387e-06
273	6.891302483e-06
274	6.891204735e-06
275	6.888719321e-06
276	6.88831751e-06
277	6.887359501e-06
278	6.886015242e-06
279	6.885736659e-06
280	6.885129637e-06
281	6.883165122e-06
282	6.881493819e-06
283	6.881241233e-06
284	6.881084334e-06
285	6.880112737e-06
286	6.879839138e-06
287	6.878632373e-06
288	6.878461946e-06
289	6.878388333e-06
290	6.878275907e-06
291	6.878228963e-06
292	6.877546103e-06
293	6.877297177e-06
294	6.877154718e-06
295	6.875125151e-06
296	6.87218031e-06
297	6.87157868e-06
298	6.870774548e-06
299	6.870490547e-06
300	6.869745968e-06
301	6.869625311e-06
302	6.868810702e-06
303	6.868734023e-06
304	6.866341388e-06
305	6.865643814e-06
306	6.863682737e-06
307	6.861893853e-06
308	6.861068572e-06
309	6.859103145e-06
310	6.856576216e-06
311	6.855485115e-06
312	6.855350488e-06
313	6.853066729e-06
314	6.85083468e-06
315	6.850571401e-06
316	6.850244554e-06
317	6.850124147e-06
318	6.849407964e-06
319	6.849359589e-06
320	6.849095321e-06
321	6.84632491e-06
322	6.846050037e-06
323	6.845673177e-06
324	6.845497933e-06
325	6.844626812e-06
326	6.841553728e-06
327	6.840781775e-06
328	6.840664087e-06
329	6.840171805e-06
330	6.836629875e-06
331	6.836135767e-06
332	6.836094188e-06
333	6.835869688e-06
334	6.834328685e-06
335	6.834253197e-06
336	6.830684967e-06
337	6.82430235e-06
338	6.823236883e-06
339	6.819823724e-06
340	6.819524418e-06
341	6.818946841e-06
342	6.818655164e-06
343	6.815861978e-06
344	6.815683483e-06
345	6.814400148e-06
346	6.813917597e-06
347	6.813693498e-06
348	6.813440027e-06
349	6.812045236e-06
350	6.812025801e-06
351	6.81164514e-06
352	6.811524433e-06
