iter	Passed	Remaining
0	1360	1359297
1	2480	1237967
2	3702	1230455
3	4917	1224547
4	6139	1221850
5	7307	1210636
6	8553	1213379
7	9819	1217664
8	11044	1216082
9	12216	1209454
10	13422	1206846
11	14673	1208118
12	15807	1200165
13	17220	1212783
14	18507	1215302
15	19699	1211499
16	20939	1210780
17	22196	1210932
18	23524	1214591
19	24712	1210901
20	26085	1216094
21	27172	1207935
22	28254	1200195
23	29427	1196733
24	30569	1192222
25	31826	1192271
26	32959	1187768
27	34122	1184540
28	34959	1170534
29	36155	1169035
30	37298	1165885
31	38534	1165659
32	39661	1162198
33	40804	1159333
34	42056	1159564
35	43193	1156635
36	44556	1159686
37	45911	1162275
38	47242	1164095
39	48417	1162011
40	49534	1158635
41	50517	1152279
42	51721	1151102
43	52970	1150913
44	54215	1150567
45	55489	1150801
46	56662	1148918
47	57465	1139736
48	58760	1140433
49	59677	1133865
50	60938	1133925
51	62166	1133337
52	63463	1133961
53	64690	1133277
54	65922	1132671
55	67026	1129867
56	68222	1128663
57	69402	1127196
58	70736	1128190
59	71900	1126440
60	73195	1126725
61	74406	1125697
62	75435	1121946
63	76275	1115523
64	77252	1111245
65	78363	1108968
66	79500	1107067
67	80689	1105920
68	81927	1105423
69	83055	1103448
70	84248	1102344
71	85303	1099473
72	86741	1101493
73	87797	1098657
74	88976	1097378
75	89947	1093570
76	91081	1091797
77	91813	1085278
78	93172	1086222
79	94227	1083615
80	95373	1082071
81	96694	1082509
82	97800	1080515
83	99011	1079697
84	100208	1078718
85	101378	1077439
86	102625	1076973
87	103865	1076427
88	105068	1075478
89	106186	1073661
90	107439	1073214
91	108577	1071615
92	109704	1069913
93	110863	1068533
94	111996	1066916
95	113190	1065880
96	114324	1064281
97	115402	1062176
98	116711	1062189
99	117847	1060631
100	118905	1058373
101	120127	1057589
102	121235	1055807
103	122387	1054412
104	123528	1052930
105	124786	1052441
106	125972	1051343
107	127280	1051245
108	128545	1050767
109	129734	1049671
110	130889	1048297
111	132106	1047418
112	133368	1046882
113	134605	1046147
114	135622	1043705
115	136669	1041514
116	137804	1040008
117	138975	1038784
118	140261	1038409
119	141474	1037483
120	142620	1036060
121	143864	1035353
122	145072	1034380
123	146411	1034324
124	147550	1032850
125	148508	1030132
126	149640	1028634
127	150746	1026959
128	151825	1025116
129	152995	1023896
130	154376	1024070
131	155442	1022154
132	156613	1020930
133	157818	1019928
134	158977	1018634
135	160179	1017612
136	161302	1016087
137	162437	1014648
138	163545	1013039
139	164562	1010883
140	165716	1009576
141	166814	1007936
142	167823	1005767
143	168952	1004328
144	170247	1003873
145	171403	1002593
146	172571	1001382
147	173773	1000370
148	174282	995397
149	175591	995018
150	176610	992993
151	177764	991739
152	179012	991003
153	180403	991048
154	181625	990151
155	182943	989769
156	184231	989218
157	185378	987901
158	186512	986522
159	187536	984567
160	188670	983197
161	189720	981392
162	190969	980623
163	192252	980019
164	193515	979307
165	194633	977859
166	195860	976958
167	197186	976540
168	198259	974872
169	199149	972315
170	200335	971217
171	201429	969671
172	202633	968660
173	203972	968283
174	205190	967325
175	206425	966447
176	207533	964971
177	208729	963905
178	209918	962811
179	211172	962009
180	212470	961399
181	213546	959784
182	214703	958541
183	215985	957847
184	217081	956333
185	218385	955729
186	219462	954135
187	220567	952665
188	221862	952011
189	223164	951387
190	224439	950636
191	225464	948829
192	226494	947053
193	227850	946637
194	229062	945617
195	230262	944545
196	231440	943386
197	232716	942618
198	233840	941238
199	235110	940442
200	236394	939698
201	237476	938151
202	238779	937473
203	239993	936446
204	241245	935561
205	242369	934180
206	243652	933414
207	244878	932420
208	246000	931037
209	247314	930373
210	248619	929673
211	249767	928380
212	250977	927319
213	252169	926192
214	253388	925161
215	254594	924083
216	255863	923231
217	257194	922595
218	258305	921171
219	259495	920030
220	260728	919038
221	261939	917969
222	263194	917051
223	264505	916323
224	265805	915551
225	266895	914059
226	268131	913065
227	269212	911543
228	270423	910465
229	271718	909665
230	272809	908184
231	274052	907206
232	275218	905976
233	276536	905242
234	277542	903487
235	278712	902274
236	279844	900935
237	281063	899874
238	282199	898551
239	283432	897536
240	284527	896084
241	285700	894879
242	286937	893876
243	288090	892608
244	289100	890901
245	290117	889223
246	291383	888307
247	292494	886918
248	293691	885792
249	294990	884971
250	296130	883672
251	297450	882908
252	298539	881457
253	299612	879964
254	300804	878821
255	302084	877933
256	303446	877278
257	304791	876570
258	305995	875455
259	307065	873956
260	307411	870409
261	308582	869213
262	309845	868273
263	311138	867417
264	312466	866652
265	313625	865417
266	314919	864555
267	316102	863383
268	317347	862382
269	318637	861500
270	319729	860085
271	320860	858773
272	322072	857680
273	323402	856899
274	324776	856227
275	326084	855380
276	327311	854318
277	328711	853704
278	329861	852437
279	331119	851449
280	332261	850163
281	333364	848779
282	334548	847600
283	335688	846313
284	337016	845497
285	338366	844733
286	339326	842996
287	340522	841846
288	341753	840784
289	342805	839281
290	344096	838364
291	345273	837171
292	346426	835917
293	347606	834729
294	348321	832428
295	349614	831515
296	350757	830243
297	351991	829188
298	353203	828078
299	354398	826930
300	355691	826008
301	356909	824910
302	357907	823306
303	358964	821839
304	360295	821001
305	361629	820165
306	362662	818648
307	363862	817508
308	365080	816409
309	366404	815546
310	367624	814447
311	368823	813302
312	369756	811573
313	371025	810583
314	372226	809445
315	373202	807818
316	374397	806668
317	375538	805399
318	376590	803944
319	377674	802557
320	378887	801446
321	380153	800447
322	381265	799123
323	382521	798100
324	383689	796893
325	384990	795961
326	386303	795053
327	387447	793794
328	388662	792681
329	389797	791406
330	390993	790254
331	392269	789264
332	393503	788189
333	394680	786997
334	396013	786117
335	396928	784406
336	398141	783286
337	399377	782212
338	400651	781210
339	401931	780220
340	403234	779271
341	404341	777942
342	405592	776893
343	406740	775644
344	407921	774459
345	408966	773017
346	410170	771876
347	411307	770611
348	412425	769309
349	413597	768109
350	414798	766964
351	415903	765639
352	417215	764698
353	418516	763733
354	419648	762459
355	420949	761492
356	421947	759977
357	423204	758931
358	424511	757972
359	425587	756599
360	426809	755488
361	428108	754512
362	429501	753698
363	430619	752400
364	431902	751392
365	433118	750265
366	434337	749143
367	435464	747863
368	436661	746703
369	438013	745806
370	439235	744687
371	440409	743487
372	441506	742156
373	442777	741119
374	443915	739858
375	445055	738603
376	446192	737341
377	447413	736219
378	448726	735248
379	449801	733886
380	451127	732933
381	452283	731704
382	453349	730330
383	454519	729124
384	455669	727888
385	456691	726446
386	457853	725230
