,precision,recall,f1-score,support
Denial of Service,0.5307290682047069,1.0,0.6934330564809418,772033.0
Malware,0.0,0.0,0.0,114.0
Port Scanning,0.0,0.0,0.0,682518.0
accuracy,0.5307290682047069,0.5307290682047069,0.5307290682047069,0.5307290682047069
macro avg,0.17690968940156895,0.3333333333333333,0.23114435216031393,1454665.0
weighted avg,0.2816733438374364,0.5307290682047069,0.36802507992847217,1454665.0
